url,label
salesforce.com,safe
apple.com,safe
microsoft.com,safe
stackoverflow.com,safe
microsoft.com,safe
oracle.com,safe
aep.com/environmental/news/?id=1499,malicious
wikipedia.org,safe
stackoverflow.com,safe
archive.org/stream/copyrightrenewals1923-1964/1977.txt,malicious
ibm.com,safe
nvidia.com,safe
http://clinicavisualiza.com/en/retina/diabetes-retinopathy.html,malicious
stackoverflow.com,safe
allhighschools.com/school/rose-creek-high-school/1000004875,malicious
nvidia.com,safe
https://www.lkvkeajn.net,safe
https://outofprint.cc/download/2018-payroll-calendar-paylocity.pdf,malicious
apple.com,safe
oracle.com,safe
microsoft.com,safe
adobe.com,safe
http://wisticks.org/rp8gTaulfhn736975120/Z/xDEsdR/bmlhZG9ucy5uZXQMessage-ID:,malicious
apple.com,safe
https://www.xcxdovxx.com,safe
https://www.isvlgowp.org,safe
tesla.com,safe
nvidia.com,safe
salesforce.com,safe
stackoverflow.com,safe
http://pikabu.ru/tag/50%20%D0%BE%D1%82%D1%82%D0%B5%D0%BD%D0%BA%D0%BE%D0%B2%20%D1%81%D0%B5%D1%80%D0%BE%D0%B3%D0%BE/hot,malicious
https://www.qhqpofcw.edu,safe
https://www.antgaovt.net,safe
nvidia.com,safe
https://www.hkuzolgi.org,safe
tesla.com,safe
oracle.com,safe
https://www.csikqwvj.org,safe
tesla.com,safe
tesla.com,safe
oracle.com,safe
google.com,safe
google.com,safe
github.com,safe
tesla.com,safe
microsoft.com,safe
stackoverflow.com,safe
https://www.varagdiy.edu,safe
tesla.com,safe
oracle.com,safe
linkedin.com,safe
microsoft.com,safe
http://www.panasonicphoneshop.co.uk/index.php,malicious
apple.com,safe
https://www.kkmeerki.edu,safe
https://www.daqgohvo.org,safe
https://www.igjrwbzl.org,safe
https://www.msiyxmis.org,safe
nvidia.com,safe
ibm.com,safe
www.tunicasinos.com/index.html,malicious
https://www.miwnstuh.org,safe
indianaforeclosuresonline.com/rss/,malicious
salesforce.com,safe
ibm.com,safe
ibm.com,safe
fin.gov.on.ca/en/publications/salarydisclosure/2010/schbd10.html,malicious
en.wikipedia.org/wiki/2009%E2%80%9310_Clemson_Tigers_men%27s_basketball_team,malicious
http://www.symedin.com/plus/feedback.php?aid=40&ftype=feedback,malicious
linkedin.com,safe
github.com,safe
google.com,safe
babyeinsteinsale.com/,malicious
google.com,safe
https://www.hgtyfblt.com,safe
tesla.com,safe
adobe.com,safe
google.com,safe
wikipedia.org,safe
https://www.wevtbleb.edu,safe
oracle.com,safe
https://www.zqfroyvr.com,safe
https://www.orkofxwn.net,safe
https://www.gvcenbnw.com,safe
https://www.qjgxbgto.edu,safe
ibm.com,safe
linkedin.com,safe
biology.northwestern.edu/igp/,malicious
google.com,safe
http://ptcanoas.com.br/pt-canoas/artigos/141-novos-ares-novos-rumos.html,malicious
linkedin.com,safe
oracle.com,safe
apple.com,safe
en.wikipedia.org/wiki/57th_National_Hockey_League_All-Star_Game,malicious
http://www.custi-animale.ro/oferta-plasa-de-sarma,malicious
tesla.com,safe
adobe.com,safe
linkedin.com,safe
microsoft.com,safe
linkedin.com,safe
adobe.com,safe
ibm.com,safe
stackoverflow.com,safe
stackoverflow.com,safe
https://www.sjhgfdcf.org,safe
shinerhoboband.com/,malicious
paypal.com.cgi.bin.webscr.cmd.login.submit.dispatch.5885d80a13c03faee8dcbcd55a50598f04d34b4bf5056.wechselgroup.com/,malicious
oracle.com,safe
spoke.com/info/pEVcUkn/RobertCulp,malicious
adobe.com,safe
ibm.com,safe
https://www.hboodabc.org,safe
ibm.com,safe
https://www.ectpygxd.org,safe
google.com,safe
wn.com/Santa_Rosa_de_Lima,malicious
jollyroger.com/library/great-books-library.html,malicious
wikipedia.org,safe
stackoverflow.com,safe
tongli-motor.com/,malicious
microsoft.com,safe
linkedin.com,safe
tesla.com,safe
http://katproxy.com/horriblesubs-shinmai-maou-no-testament-06-720p-mkv-t10208504.html,malicious
skylighters.org/troopships/1945.html,malicious
github.com,safe
wikipedia.org,safe
gohofstra.com/ViewArticle.dbml?DB_OEM_ID=22200&ATCLID=204959431,malicious
oracle.com,safe
https://www.yylhfidt.net,safe
http://sparcochile.com/index.php?page=shop.browse&category_id=101&option=com_virtuemart&Itemid=65,malicious
https://www.usubsizq.org,safe
https://www.elekyxjl.net,safe
https://www.doeckruy.edu,safe
http://45.148.10.152/bins/UnHAnaAW.spc,malicious
google.com,safe
linkedin.com,safe
linkedin.com,safe
http://babal.net/books/view/1386/%D8%AA%D8%A7%D8%B1%D9%8A%D8%AE-%D8%A7%D9%84%D8%B7%D8%A8%D8%B1%D9%89-%D8%AA%D8%A7%D8%B1%D9%8A%D8%AE-%D8%A7%D9%84%D8%B1%D8%B3%D9%84-%D9%88%D8%A7%D9%84%D9%85%D9%84%D9%88%D9%83-%D8%A7%D9%84%D8%AC%D8%B2%D8%A1-%D8%A7%D9%84%D8%AE%D8%A7%D9%85%D8%B3-%D9%84%D9%80-%D8%A8%D9%86-%D8%AC%D8%B1%D9%8A%D8%B1-%D8%A7%D9%84%D8%B7%D8%A8%D8%B1%D9%89,malicious
google.com,safe
microsoft.com,safe
tesla.com,safe
https://www.tzmtoufn.com,safe
linkedin.com,safe
https://www.tgbzzspo.edu,safe
ibm.com,safe
oracle.com,safe
ibm.com,safe
ibm.com,safe
linkedin.com,safe
apple.com,safe
brevini-power-transmission.com/,malicious
salesforce.com,safe
stackoverflow.com,safe
underworld.wikia.com/wiki/Category:Character,malicious
